team,games,win_numeric,avg_points_for,avg_points_against,avg_yards,avg_pass_yards,avg_rush_yards,turnovers,takeaways,point_diff,turnover_diff,third_down_pct,fourth_down_pct,redzone_pct
49ers,57,35,25.9,20.2,377.5,243.1,134.4,84,69,323,-15,45.2,46.0,59.5
Bears,51,15,19.5,23.8,304.9,164.7,140.1,75,66,-216,-9,38.3,49.4,58.1
Bengals,53,32,25.0,22.5,346.4,253.5,92.9,79,59,137,-20,43.9,44.2,62.6
Bills,57,41,28.4,19.8,376.0,240.8,135.3,98,67,486,-31,47.9,64.2,64.8
Broncos,52,23,20.7,21.4,314.2,204.0,110.2,74,65,-38,-9,35.0,59.4,55.9
Browns,52,21,19.8,23.5,328.5,209.8,118.7,60,94,-194,34,33.3,53.3,53.8
Buccaneers,55,28,22.8,21.1,354.8,250.9,103.9,64,67,90,3,43.3,60.0,56.5
Cardinals,51,16,21.0,25.2,335.3,204.1,131.2,54,63,-213,9,38.9,44.1,58.3
Chargers,53,26,22.3,21.6,335.8,238.4,97.5,74,53,35,-21,40.8,51.3,55.5
Chiefs,61,49,24.8,19.8,361.2,252.4,108.8,69,74,302,5,46.3,63.8,59.2
Colts,51,21,20.8,24.9,327.7,205.1,122.7,70,85,-207,15,35.3,52.3,49.7
Commanders,54,26,22.7,25.1,340.7,216.3,124.4,59,75,-132,16,39.0,63.0,60.1
Cowboys,54,32,25.9,22.3,354.4,238.6,115.7,83,71,195,-12,43.9,48.7,59.3
Dolphins,53,28,24.1,22.9,359.4,247.9,111.5,61,70,62,9,37.3,48.9,60.6
Eagles,59,45,27.6,20.9,367.8,212.9,154.9,88,64,395,-24,44.5,70.8,62.0
Falcons,51,22,21.1,23.2,340.9,201.8,139.1,51,73,-107,22,40.3,55.9,52.6
Giants,53,19,17.8,23.7,303.9,182.4,121.4,65,59,-313,-6,34.4,51.5,51.8
Jaguars,53,23,21.7,22.9,335.7,227.2,108.5,63,83,-61,20,39.1,50.6,54.5
Jets,51,19,17.7,21.1,299.0,203.1,96.0,60,75,-173,15,33.1,46.9,44.9
Lions,55,38,29.0,23.4,396.8,259.4,137.3,72,59,306,-13,43.1,58.1,67.0
Packers,54,29,23.9,21.1,351.3,223.5,127.8,75,65,155,-10,43.0,45.3,54.8
Panthers,51,14,18.1,26.0,289.8,175.0,114.8,45,63,-400,18,34.0,49.5,56.8
Patriots,51,16,17.4,22.2,294.3,188.2,106.0,60,75,-241,15,33.3,45.2,48.4
Raiders,51,18,20.3,23.2,315.1,217.9,97.2,48,74,-147,26,36.7,56.9,48.9
Rams,54,26,21.3,22.4,326.5,220.2,106.3,59,57,-58,-2,39.1,68.7,55.4
Ravens,56,37,26.2,18.7,378.8,209.0,169.8,74,59,417,-15,44.0,54.4,61.0
Saints,51,21,21.0,21.0,330.4,219.0,111.3,60,62,0,2,38.1,49.1,54.3
Seahawks,52,28,22.5,23.3,335.5,232.5,102.9,62,66,-43,4,37.4,50.9,50.6
Steelers,53,29,19.3,20.3,314.9,194.5,120.5,83,54,-53,-29,40.5,50.0,49.7
Texans,55,25,20.7,22.3,316.5,217.2,99.3,86,64,-89,-22,35.8,49.3,50.6
Titans,51,16,17.9,23.3,296.7,182.3,114.4,52,77,-272,25,35.9,48.3,54.8
Vikings,53,34,23.3,22.2,350.1,251.3,98.8,80,80,54,0,39.6,50.7,55.8
