team,games,win_numeric,avg_points_for,avg_points_against,avg_yards,avg_pass_yards,avg_rush_yards,turnovers,takeaways,point_diff,turnover_diff,third_down_pct,fourth_down_pct,redzone_pct
49ers,20,14,28.6,18.8,396.2,258.0,138.2,33,21,196,-12,47.5,53.3,68.0
Bears,17,7,21.2,22.3,323.2,182.1,141.1,28,25,-19,-3,41.2,50.0,57.1
Bengals,17,9,21.5,22.6,318.9,229.1,89.8,26,16,-18,-10,37.6,45.0,59.6
Bills,19,12,26.6,18.7,373.8,238.4,135.4,33,28,151,-5,49.4,60.0,63.9
Broncos,17,8,21.0,24.3,298.4,191.9,106.5,26,22,-56,-4,36.8,65.0,50.8
Browns,18,11,22.8,22.6,335.2,220.1,115.2,28,39,3,11,32.5,50.0,57.7
Buccaneers,19,10,21.2,19.2,323.9,233.6,90.4,26,20,38,-6,41.2,66.7,48.1
Cardinals,17,4,19.4,26.8,324.1,184.9,139.1,17,18,-125,1,39.1,44.1,62.8
Chargers,17,5,20.4,23.4,329.4,232.8,96.6,21,21,-52,0,38.4,46.9,57.4
Chiefs,21,15,22.2,17.0,357.9,248.6,109.3,23,32,109,9,43.3,54.2,51.2
Colts,17,9,23.3,24.4,336.8,215.6,121.1,24,22,-19,-2,35.3,50.0,49.1
Commanders,17,4,19.4,30.5,312.8,219.1,93.6,18,32,-189,14,35.6,55.2,63.3
Cowboys,18,12,30.1,20.2,379.3,265.8,113.5,26,18,178,-8,49.2,52.0,57.9
Dolphins,18,11,27.9,23.2,393.7,261.2,132.4,28,26,86,-2,40.2,45.2,65.5
Eagles,18,11,24.6,25.6,350.0,226.0,124.0,18,28,-18,10,46.2,67.9,59.7
Falcons,17,7,18.9,21.9,334.3,207.3,127.0,16,28,-52,12,40.0,42.1,46.8
Giants,17,6,15.6,23.9,280.0,169.8,110.2,31,19,-141,-12,30.2,48.6,44.2
Jaguars,17,9,22.2,21.8,339.5,242.7,96.8,27,30,6,3,38.2,44.8,50.0
Jets,17,7,15.8,20.9,268.6,171.7,96.9,27,33,-87,6,26.0,58.6,32.4
Lions,20,14,27.4,23.8,394.0,259.6,134.3,26,24,72,-2,41.7,53.3,66.7
Packers,19,10,23.8,21.4,348.3,233.4,114.9,20,20,46,0,48.0,50.0,53.4
Panthers,17,2,13.9,24.5,265.3,161.2,104.1,11,20,-180,9,34.1,47.9,50.0
Patriots,17,4,13.9,21.5,276.2,180.5,95.7,18,29,-130,11,30.2,36.0,58.3
Raiders,17,8,19.5,19.5,289.5,198.8,90.7,22,24,1,2,35.6,60.9,48.9
Rams,18,10,23.7,22.3,362.9,245.6,117.4,15,18,26,3,41.7,63.6,60.3
Ravens,19,14,27.7,16.2,367.6,211.2,156.4,31,22,220,-9,40.9,66.7,62.2
Saints,17,9,23.6,19.2,337.2,234.7,102.5,29,18,75,-11,38.7,47.4,53.3
Seahawks,17,9,21.4,23.6,322.9,230.0,92.9,19,17,-38,-2,36.2,37.5,48.1
Steelers,18,10,17.8,19.7,305.4,187.8,117.6,27,18,-34,-9,37.0,45.0,48.9
Texans,19,11,22.7,21.1,336.3,243.6,92.7,26,14,31,-12,37.3,36.4,55.4
Titans,17,6,17.9,21.6,289.0,180.4,108.6,14,20,-62,6,33.5,55.0,47.9
Vikings,17,7,20.2,21.3,347.8,256.4,91.4,22,34,-18,12,38.1,58.6,47.1
