team,games,redzone_pct,win_numeric,avg_points_for,avg_points_against,avg_yards,avg_pass_yards,avg_rush_yards,turnovers,takeaways,point_diff,turnover_diff,third_down_pct,fourth_down_pct
49ers,17,57.1,6,22.9,25.6,376.3,249.1,127.2,17,27,-47,10,42.6,50.0
Bears,17,62.2,5,18.2,21.8,283.5,181.5,102.0,24,16,-60,-8,32.9,60.5
Bengals,17,63.9,9,27.8,25.5,365.5,272.9,92.6,25,22,38,-3,46.7,52.6
Bills,20,69.6,15,30.6,21.6,361.2,224.4,136.7,36,8,180,-28,44.2,74.2
Broncos,18,61.4,10,24.0,19.0,319.0,208.6,110.4,25,19,90,-6,38.9,64.0
Browns,17,48.6,3,15.2,25.6,300.8,206.2,94.6,12,34,-177,22,29.5,54.5
Buccaneers,18,66.7,10,29.0,22.7,393.2,246.7,146.5,18,24,114,6,51.1,64.3
Cardinals,17,56.1,8,23.5,22.3,358.2,214.1,144.2,17,20,21,3,43.0,44.4
Chargers,18,54.9,11,23.0,18.5,320.7,213.3,107.3,24,13,81,-11,39.7,58.8
Chiefs,20,54.5,17,23.1,20.4,321.2,220.0,101.2,21,18,53,-3,47.3,66.7
Colts,17,53.8,8,22.2,25.1,334.8,197.7,137.1,25,29,-50,4,37.9,60.7
Commanders,20,63.4,14,28.8,24.8,373.2,224.2,149.1,23,20,79,-3,45.2,78.9
Cowboys,17,46.0,7,20.6,27.5,327.5,227.2,100.3,22,28,-118,6,36.8,35.7
Dolphins,17,56.6,8,20.3,21.4,325.4,219.8,105.6,16,21,-19,5,36.3,48.4
Eagles,21,58.3,18,29.0,18.1,366.0,181.9,184.1,39,16,228,-23,40.3,71.0
Falcons,17,54.7,8,22.9,24.9,369.8,239.3,130.5,18,24,-34,6,39.2,67.7
Giants,17,43.2,3,16.1,24.4,294.8,189.9,104.9,15,23,-142,8,35.3,54.1
Jaguars,17,58.0,4,18.8,25.6,306.2,204.5,101.7,9,24,-115,15,37.3,53.8
Jets,17,54.5,5,19.9,23.8,310.3,218.5,91.8,17,19,-66,2,39.5,41.7
Lions,18,67.9,15,33.1,21.5,415.7,266.3,149.4,24,20,208,-4,47.0,68.6
Packers,18,58.3,11,26.1,20.0,366.9,222.3,144.6,31,23,110,-8,40.4,50.0
Panthers,17,62.0,5,20.1,31.4,298.0,187.5,110.5,17,22,-193,5,36.0,46.7
Patriots,17,46.8,4,17.0,24.5,291.9,176.1,115.8,12,23,-128,11,34.9,58.3
Raiders,17,48.9,4,18.2,25.5,303.2,223.4,79.8,13,29,-125,16,34.8,56.0
Rams,19,51.4,11,21.9,22.3,333.0,229.5,103.5,22,16,-7,-6,36.1,65.4
Ravens,19,74.0,13,30.1,21.2,426.5,233.7,192.8,17,14,169,-3,50.5,56.2
Saints,17,58.1,5,19.9,23.4,320.1,205.2,114.9,17,19,-60,2,35.2,55.6
Seahawks,17,57.1,10,22.1,21.6,332.2,236.5,95.7,18,24,7,6,37.6,52.6
Steelers,18,48.2,10,21.9,20.8,317.2,195.3,121.9,33,17,19,-16,39.7,36.8
Texans,19,48.4,11,22.0,21.4,326.3,209.2,117.2,33,22,11,-11,38.9,61.9
Titans,17,53.3,3,18.3,27.1,304.2,195.1,109.1,18,34,-149,16,37.7,39.1
Vikings,18,54.8,14,24.5,19.9,342.6,233.7,108.9,33,23,82,-10,39.6,41.2
