season,week,month,team,opponent,location,win_numeric,score_for,score_against,first_downs,first_downs_pass,first_downs_rush,third_down_comp,third_down_att,fourth_down_comp,fourth_down_att,plays,drives,yards,pass_comp,pass_att,pass_yards,sacks_num,sacks_yards,rush_att,rush_yards,pen_num,redzone_comp,redzone_att,fumbles_lost,fumbles_forced,interceptions_thrown,interceptions_forced,turnovers_forced,turnovers_commited,turnover_diff_pct,def_st_td,possession_time,redzone_efficiency,third_down_efficiency,yards_per_play,rush_yards_per_attempt,pass_completion_pct
2022,1,9,Bills,Rams,0,1,31,10,23,15,7,9,10,0,0,58,10,413,26,31,292,2,5,25,121,5,2,2,2,0,2,3,3,4,-1,0,31,100.0,90.0,7.1,4.8,83.9
2022,1,9,Rams,Bills,1,0,10,31,19,14,3,6,13,2,3,66,10,243,29,41,191,7,49,18,52,4,1,2,0,2,3,2,4,3,1,0,29,50.0,46.2,3.7,2.9,70.7
2022,1,9,Browns,Panthers,0,1,26,24,23,7,11,8,18,1,2,74,11,355,18,34,138,1,9,39,217,9,1,4,0,0,0,1,1,0,1,0,38,25.0,44.4,4.8,5.6,52.9
2022,1,9,Panthers,Browns,1,0,24,26,15,7,5,4,11,0,0,50,12,261,16,27,207,4,28,19,54,8,2,3,0,0,1,0,0,1,-1,0,22,66.7,36.4,5.2,2.8,59.3
2022,1,9,Jaguars,Commanders,0,0,22,28,24,13,6,3,12,0,1,62,11,383,24,42,260,2,15,18,123,13,2,5,0,1,1,2,3,1,2,0,27,40.0,25.0,6.2,6.8,57.1
2022,1,9,Commanders,Jaguars,1,1,28,22,26,16,7,7,10,0,0,70,12,390,27,41,305,1,8,28,85,6,2,2,1,0,2,1,1,3,-2,0,33,100.0,70.0,5.6,3.0,65.9
2022,1,9,Ravens,Jets,0,1,24,9,13,8,4,5,13,0,0,53,13,274,17,30,211,2,2,21,63,5,1,2,0,1,1,1,2,1,1,0,28,50.0,38.5,5.2,3.0,56.7
2022,1,9,Jets,Ravens,1,0,9,24,24,18,3,2,14,3,4,79,12,380,37,59,297,3,12,17,83,6,1,2,1,0,1,1,1,2,-1,0,32,50.0,14.3,4.8,4.9,62.7
2022,1,9,Patriots,Dolphins,0,0,7,20,17,10,5,4,9,0,1,54,9,271,21,30,193,2,20,22,78,3,1,1,2,0,1,0,0,3,-3,0,28,100.0,44.4,5.0,3.5,70.0
2022,1,9,Dolphins,Patriots,1,1,20,7,18,13,3,6,14,1,1,59,8,307,23,33,242,3,28,23,65,4,0,2,0,2,0,1,3,0,3,1,32,0.0,42.9,5.2,2.8,69.7
2022,1,9,Colts,Texans,0,0,20,20,33,20,11,6,15,0,1,90,13,517,32,50,340,2,12,38,177,7,2,5,1,1,1,0,1,2,-1,0,40,40.0,40.0,5.7,4.7,64.0
2022,1,9,Texans,Colts,1,0,20,20,20,12,4,5,15,0,0,68,14,299,23,37,222,3,18,28,77,6,1,1,1,1,0,1,2,1,1,0,30,100.0,33.3,4.4,2.8,62.2
2022,1,9,Steelers,Bengals,0,1,23,20,13,8,4,4,15,0,0,61,15,267,21,38,192,1,2,22,75,8,1,2,0,1,0,4,5,0,5,1,26,50.0,26.7,4.4,3.4,55.3
2022,1,9,Bengals,Steelers,1,0,20,23,32,22,5,8,16,1,3,94,14,432,33,53,299,7,39,34,133,4,2,5,1,0,4,0,0,5,-5,0,44,40.0,50.0,4.6,3.9,62.3
2022,1,9,49ers,Bears,0,0,10,19,17,5,11,8,17,0,2,67,11,331,13,28,155,2,9,37,176,12,1,3,1,0,1,1,1,2,-1,0,33,33.3,47.1,4.9,4.8,46.4
2022,1,9,Bears,49ers,1,1,19,10,15,4,6,5,14,0,0,56,11,204,8,17,105,2,16,37,99,3,2,2,0,1,1,1,2,1,1,0,27,100.0,35.7,3.6,2.7,47.1
2022,1,9,Saints,Falcons,0,1,27,26,18,12,5,4,13,0,0,57,12,385,23,34,234,4,35,19,151,8,3,3,1,2,0,0,2,1,1,0,26,100.0,30.8,6.8,7.9,67.6
2022,1,9,Falcons,Saints,1,0,26,27,26,8,13,5,13,0,0,71,13,416,20,33,215,0,0,38,201,8,2,4,2,1,0,0,1,2,-1,0,34,50.0,38.5,5.9,5.3,60.6
2022,1,9,Eagles,Lions,0,1,38,35,27,12,13,10,17,2,3,72,10,455,18,32,239,1,4,39,216,10,4,5,0,0,0,1,1,0,1,1,32,80.0,58.8,6.3,5.5,56.2
2022,1,9,Lions,Eagles,1,0,35,38,23,12,9,9,14,1,1,66,11,386,21,37,205,1,10,28,181,7,4,4,0,0,1,0,0,1,-1,0,28,100.0,64.3,5.8,6.5,56.8
2022,1,9,Chiefs,Cardinals,0,1,44,21,33,22,7,5,8,1,1,66,10,488,30,39,360,0,0,27,128,3,6,6,1,0,0,0,0,1,-1,0,35,100.0,62.5,7.4,4.7,76.9
2022,1,9,Cardinals,Chiefs,1,0,21,44,18,12,6,3,12,3,4,63,11,282,24,38,179,3,26,22,103,5,3,3,0,1,0,0,1,0,1,0,25,100.0,25.0,4.5,4.7,63.2
2022,1,9,Raiders,Chargers,0,0,19,24,18,17,1,5,11,1,2,56,11,320,22,37,256,6,39,13,64,3,2,3,0,0,3,0,0,3,-3,0,27,66.7,45.5,5.7,4.9,59.5
2022,1,9,Chargers,Raiders,1,1,24,19,18,12,5,6,14,0,1,65,11,355,26,34,279,0,0,31,76,5,2,3,0,0,0,3,3,0,3,0,33,66.7,42.9,5.5,2.5,76.5
2022,1,9,Giants,Titans,0,1,21,20,19,7,11,2,10,1,1,58,12,394,17,21,156,5,32,32,238,8,2,3,1,1,1,0,1,2,-1,0,29,66.7,20.0,6.8,7.4,81.0
2022,1,9,Titans,Giants,1,0,20,21,19,13,2,3,11,0,0,60,11,359,20,33,266,1,0,26,93,7,2,3,1,1,0,1,2,1,1,0,31,66.7,27.3,6.0,3.6,60.6
2022,1,9,Packers,Vikings,0,0,7,23,21,13,8,3,9,0,2,61,11,338,26,39,227,4,33,18,111,2,1,3,1,0,1,0,0,2,-2,0,29,33.3,33.3,5.5,6.2,66.7
2022,1,9,Vikings,Packers,1,1,23,7,19,12,7,4,13,1,1,61,10,395,23,32,269,1,8,28,126,3,1,3,0,1,0,1,2,0,2,0,31,33.3,30.8,6.5,4.5,71.9
2022,1,9,Buccaneers,Cowboys,0,1,19,3,18,9,9,5,14,0,0,62,11,347,18,27,195,2,17,33,152,5,1,3,0,0,1,1,1,1,0,0,33,33.3,35.7,5.6,4.6,66.7
2022,1,9,Cowboys,Buccaneers,1,0,3,19,12,8,4,3,15,2,5,64,11,244,21,42,173,4,25,18,71,10,0,0,0,0,1,1,1,1,0,0,27,0.0,20.0,3.8,3.9,50.0
2022,1,9,Broncos,Seahawks,0,0,16,17,20,13,5,8,15,0,1,64,8,433,29,42,330,2,10,20,103,12,0,4,2,1,0,0,1,2,-1,0,34,0.0,53.3,6.8,5.2,69.0
2022,1,9,Seahawks,Broncos,1,1,17,16,19,9,3,6,11,0,1,49,8,253,23,28,177,2,18,19,76,5,0,2,1,2,0,0,2,1,1,0,26,0.0,54.5,5.2,4.0,82.1
2022,2,9,Chargers,Chiefs,0,0,24,27,21,15,5,5,16,4,4,74,12,401,33,48,326,2,8,24,75,3,3,5,0,0,1,0,0,1,-1,0,34,60.0,31.2,5.4,3.1,68.8
2022,2,9,Chiefs,Chargers,1,1,27,24,15,11,2,4,12,0,0,54,11,319,24,35,226,1,9,18,93,6,1,3,0,0,0,1,1,0,1,1,26,33.3,33.3,5.9,5.2,68.6
2022,2,9,Dolphins,Ravens,0,1,42,38,27,22,5,7,11,2,2,69,11,547,36,50,461,1,8,18,86,8,4,4,0,0,2,0,0,2,-2,0,35,100.0,63.6,7.9,4.8,72.0
2022,2,9,Ravens,Dolphins,1,0,38,42,23,13,6,3,10,1,3,54,11,473,21,29,318,0,0,25,155,1,2,3,0,0,0,2,2,0,2,1,25,66.7,30.0,8.8,6.2,72.4
2022,2,9,Colts,Jaguars,0,0,0,24,9,6,3,2,10,0,2,48,11,218,16,30,164,5,31,13,54,5,0,2,0,0,3,0,0,3,-3,0,22,0.0,20.0,4.5,4.2,53.3
